FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-P44G-0926-SM-325AM	GTEX-P44G-0926-SM-325AM	-0.0134	-0.0206	-0.1874	0.0394	0.0149	-0.0110	0.0061	-0.0561	-0.0178	0.0148	-0.0114	-0.0301	0.0394	-0.0141	0.0716	-0.0736	-0.0513	-0.0187	-0.0765	-0.0635
GTEX-P44H-1126-SM-2VCU3	GTEX-P44H-1126-SM-2VCU3	-0.0216	0.0185	0.0254	-0.0253	0.0025	-0.0622	-0.0212	-0.0175	-0.0285	-0.0310	0.0270	-0.0024	0.0343	-0.0303	-0.0213	0.0119	-0.0032	-0.0078	-0.0271	-0.0173
GTEX-P78B-0004-SM-2MRIA	GTEX-P78B-0004-SM-2MRIA	-0.0216	-0.0040	0.0222	0.0433	0.0335	0.0501	0.0269	-0.0458	-0.0218	0.0135	0.0156	0.0030	0.0147	-0.0030	0.0288	-0.0187	-0.0015	0.0305	-0.0211	0.0006
GTEX-PLZ4-0003-SM-2IJGB	GTEX-PLZ4-0003-SM-2IJGB	-0.0167	0.0037	-0.0900	-0.0291	0.0025	-0.0205	0.0446	0.0244	0.0395	0.0530	0.0164	0.0094	-0.0468	0.0292	-0.0287	-0.0030	-0.0167	0.0192	-0.0387	0.0642
GTEX-PLZ5-0003-SM-2H2X9	GTEX-PLZ5-0003-SM-2H2X9	-0.0219	0.0121	0.0317	-0.0175	-0.0099	0.0350	-0.0044	0.0036	-0.0074	-0.0328	-0.0053	-0.0628	0.0652	-0.0180	-0.0023	-0.0346	-0.0084	0.0088	-0.0031	0.0406
GTEX-PLZ6-0003-SM-2IJGD	GTEX-PLZ6-0003-SM-2IJGD	-0.0215	0.0059	0.0017	-0.0254	0.0174	0.0061	-0.0441	-0.0116	0.0478	0.0106	0.0286	-0.0014	0.0163	0.0381	0.0124	0.0387	-0.0544	-0.0081	-0.0013	0.0365
GTEX-POMQ-0003-SM-2H2X7	GTEX-POMQ-0003-SM-2H2X7	0.0802	0.0051	0.0174	-0.0083	0.0442	-0.0618	-0.0032	-0.0922	-0.2147	-0.0064	0.0190	0.1881	-0.0324	-0.1954	-0.0139	-0.0465	-0.0727	-0.0744	-0.0691	-0.1799
GTEX-POYW-1226-SM-325A1	GTEX-POYW-1226-SM-325A1	-0.0208	0.0119	0.0108	0.0054	-0.0251	-0.0179	-0.0186	-0.0127	0.0036	0.0287	-0.0188	0.0236	-0.0006	-0.0146	-0.0336	0.0180	0.0747	0.0300	0.0290	-0.0035
GTEX-PSDG-0004-SM-2IJGH	GTEX-PSDG-0004-SM-2IJGH	-0.0232	0.0086	0.0090	-0.0225	-0.0065	-0.0169	0.0272	-0.0078	-0.0113	0.0541	0.0097	-0.0078	-0.0273	0.0118	-0.0212	0.0168	-0.0639	0.0769	0.0379	-0.0233
GTEX-PVOW-1026-SM-325A8	GTEX-PVOW-1026-SM-325A8	-0.0201	0.0097	0.0085	-0.0014	-0.0306	-0.0684	-0.0209	0.0326	0.0175	0.0169	-0.0394	0.0279	0.0076	0.0357	-0.0024	0.0362	-0.0045	0.0014	-0.0162	0.0196
GTEX-PW2O-0004-SM-2IJGJ	GTEX-PW2O-0004-SM-2IJGJ	-0.0158	0.0074	0.0164	-0.0378	-0.0102	0.0211	-0.0309	-0.0249	-0.0196	0.0151	0.0168	-0.0104	-0.0247	-0.0302	0.0587	-0.0666	-0.0375	0.0014	-0.0391	0.0046
GTEX-PWCY-0001-SM-2IJGL	GTEX-PWCY-0001-SM-2IJGL	-0.0219	0.0101	0.0094	-0.0431	-0.0093	0.0252	-0.0167	-0.0085	-0.0538	0.0106	-0.0315	-0.0010	0.0044	0.0157	0.0354	0.0362	-0.0056	0.0066	0.0144	-0.0030
GTEX-PWN1-0004-SM-2IJGN	GTEX-PWN1-0004-SM-2IJGN	-0.0211	-0.0003	0.0219	-0.0071	0.0021	-0.0066	0.0096	-0.0212	-0.0070	-0.0380	-0.0225	-0.0133	0.0235	0.0392	0.0369	-0.0156	-0.0257	0.0340	0.0246	0.0017
GTEX-PWO3-0004-SM-2IJGP	GTEX-PWO3-0004-SM-2IJGP	-0.0207	0.0031	0.0228	0.0432	0.0382	-0.0112	-0.0158	-0.0289	-0.0275	0.0460	-0.0112	0.0105	-0.0069	-0.0444	-0.0246	-0.0128	-0.0059	-0.0539	0.0041	-0.0116
GTEX-PWOO-0004-SM-2IJGC	GTEX-PWOO-0004-SM-2IJGC	-0.0202	0.0089	0.0025	-0.0439	-0.0302	-0.0027	0.0164	0.0151	-0.0428	0.0555	-0.0157	-0.0164	-0.0018	-0.0051	0.0326	-0.0233	-0.0193	-0.0156	-0.0007	0.0375
GTEX-PX3G-0004-SM-2IJGE	GTEX-PX3G-0004-SM-2IJGE	-0.0206	0.0024	0.0040	-0.0177	-0.0204	-0.0169	0.0098	-0.0167	-0.0434	0.0125	-0.0159	0.0205	-0.0327	-0.0045	0.0433	-0.0349	0.0289	0.0630	-0.0509	0.0284
GTEX-Q2AG-0003-SM-2IJGG	GTEX-Q2AG-0003-SM-2IJGG	-0.0222	0.0149	0.0294	-0.0376	-0.0286	-0.0126	-0.0079	0.0298	-0.0091	-0.0134	-0.0077	-0.0184	0.0202	0.0045	-0.0220	0.0070	0.0282	-0.0046	0.0233	-0.0089
GTEX-Q2AH-0004-SM-2IJGI	GTEX-Q2AH-0004-SM-2IJGI	0.0910	0.0198	0.0282	0.0761	-0.1020	-0.0207	0.0233	-0.1009	-0.0040	0.2205	-0.0349	-0.0449	-0.0931	-0.1424	-0.0913	-0.0112	0.0170	-0.1896	0.1483	0.1805
GTEX-Q2AI-0003-SM-2IJGK	GTEX-Q2AI-0003-SM-2IJGK	-0.0202	0.0115	-0.0366	-0.0021	0.0367	0.0201	0.0051	0.0077	-0.0141	-0.0168	-0.0023	0.0233	0.0149	0.0195	-0.0129	0.0156	0.0429	-0.0715	0.0101	0.0091
GTEX-Q734-0001-SM-2IJGM	GTEX-Q734-0001-SM-2IJGM	-0.0220	0.0175	0.0368	-0.0310	-0.0245	0.0009	0.0296	-0.0041	-0.0266	-0.0136	0.0357	0.0319	0.0338	-0.0454	-0.0165	0.0259	-0.0617	0.0320	-0.0169	-0.0202
GTEX-QCQG-0003-SM-2IJGO	GTEX-QCQG-0003-SM-2IJGO	-0.0159	-0.0007	-0.0943	-0.0312	-0.0294	0.0003	0.0049	0.0499	0.0173	-0.0067	-0.0266	0.0080	0.0251	0.0044	0.0220	0.0131	0.0662	-0.0222	0.0861	-0.0238
GTEX-QDT8-0926-SM-325A6	GTEX-QDT8-0926-SM-325A6	-0.0196	0.0021	-0.0230	0.0623	-0.0078	0.0182	-0.0241	0.0456	-0.0226	-0.0548	-0.0563	-0.0075	0.0065	0.0106	-0.0610	0.0586	0.0036	0.0182	0.0307	-0.0311
GTEX-QDVJ-0003-SM-2MRI3	GTEX-QDVJ-0003-SM-2MRI3	-0.0240	0.0011	0.0569	0.0678	0.0409	0.0180	0.0301	-0.0131	0.0010	-0.0141	-0.0161	-0.0143	0.0189	-0.0173	0.0247	-0.0130	-0.0098	0.0218	0.0150	0.0014
GTEX-QDVN-0003-SM-2IJGQ	GTEX-QDVN-0003-SM-2IJGQ	-0.0207	0.0012	0.0313	-0.0022	0.0056	-0.0259	-0.0037	-0.0024	0.0263	-0.0226	0.0492	0.0070	-0.0546	0.0155	0.0100	-0.0097	-0.0266	-0.0316	-0.0416	-0.0190
GTEX-QEG4-0003-SM-2MRI5	GTEX-QEG4-0003-SM-2MRI5	-0.0226	0.0030	0.0292	0.0221	-0.0003	0.0161	0.0151	-0.0121	0.0156	0.0086	-0.0326	-0.0267	0.0026	0.0140	0.0036	-0.0122	0.0250	0.0476	-0.0262	0.0540
GTEX-QEG5-0003-SM-2MRI7	GTEX-QEG5-0003-SM-2MRI7	-0.0215	0.0036	-0.0037	0.0118	0.0047	0.0011	-0.0094	0.0153	-0.0490	-0.0275	0.0129	0.0212	-0.0237	0.0151	0.0138	0.0051	0.0090	-0.0707	-0.0141	-0.0166
GTEX-QEL4-0004-SM-2RXF3	GTEX-QEL4-0004-SM-2RXF3	-0.0165	-0.0035	-0.0818	0.0016	-0.0049	0.0070	0.0137	0.0413	-0.0440	-0.0004	0.0228	0.0228	-0.0271	-0.0276	0.0063	-0.0158	-0.0116	0.0258	-0.0305	0.0563
GTEX-QESD-0001-SM-2MRI9	GTEX-QESD-0001-SM-2MRI9	-0.0217	0.0081	0.0201	0.0026	-0.0144	-0.0083	0.0415	0.0270	0.0113	-0.0030	0.0314	-0.0502	-0.0105	-0.0151	-0.0551	-0.0075	0.0012	0.0146	0.0209	0.0274
GTEX-QLQ7-0003-SM-2MRIB	GTEX-QLQ7-0003-SM-2MRIB	0.0231	-0.5859	0.0208	0.1139	-0.2003	-0.1790	0.0260	-0.0335	-0.0177	-0.0215	0.0086	-0.0170	-0.0078	0.0017	-0.0153	0.0359	-0.0314	0.0441	-0.0048	-0.0150
GTEX-QLQW-0001-SM-2MRID	GTEX-QLQW-0001-SM-2MRID	0.0509	0.0096	0.0004	-0.0194	-0.0560	0.0045	0.0098	-0.0198	-0.0221	0.0600	-0.0168	-0.0797	-0.1320	-0.0116	-0.0113	-0.0646	-0.0271	-0.0274	-0.0596	0.0348
GTEX-QMR6-1926-SM-3L285	GTEX-QMR6-1926-SM-3L285	-0.0202	-0.0074	0.0096	-0.0228	-0.0047	0.0076	-0.0425	0.0176	0.0017	0.0184	-0.0239	-0.0222	-0.0132	0.0101	0.0013	0.0283	-0.0542	0.0243	-0.0046	0.0133
GTEX-QMRM-0002-SM-2MRIF	GTEX-QMRM-0002-SM-2MRIF	-0.0224	0.0102	0.0433	-0.0403	-0.0368	-0.0097	-0.0077	-0.0227	-0.0005	-0.0046	0.0111	-0.0134	0.0197	0.0207	0.0275	-0.0241	-0.0447	-0.0132	0.0122	-0.0545
GTEX-QV31-0003-SM-2MRI2	GTEX-QV31-0003-SM-2MRI2	-0.0212	-0.0019	-0.0039	0.0125	-0.0061	-0.0179	0.0221	-0.0019	0.0367	-0.0130	-0.0060	-0.0024	0.0021	-0.0238	-0.0120	-0.0304	-0.0078	-0.0003	-0.0004	0.0003
GTEX-QV44-0003-SM-2MRI4	GTEX-QV44-0003-SM-2MRI4	-0.0204	-0.0024	0.0104	0.0069	0.0028	0.0143	-0.0223	-0.0246	0.0018	0.0109	-0.0007	-0.0192	0.0235	-0.0203	0.0197	-0.0128	0.0087	0.0156	0.0284	-0.0244
GTEX-QVJO-0002-SM-2MRI6	GTEX-QVJO-0002-SM-2MRI6	-0.0196	0.0063	0.0312	-0.0241	-0.0108	-0.0255	-0.0079	0.0173	-0.0149	-0.0690	-0.0069	-0.0018	0.0350	-0.0044	-0.0320	0.0198	0.0202	0.0350	0.0009	-0.0172
GTEX-QVUS-0001-SM-2RXET	GTEX-QVUS-0001-SM-2RXET	-0.0229	-0.0002	0.0086	0.0379	0.0242	-0.0441	-0.0078	-0.0463	-0.0134	0.0215	-0.0070	0.0425	0.0312	-0.0098	0.0129	0.0029	0.0202	-0.0215	0.0065	0.0158
GTEX-QXCU-0004-SM-2MRI8	GTEX-QXCU-0004-SM-2MRI8	-0.0229	0.0022	0.0108	0.1040	0.0306	0.0170	-0.0242	-0.0150	0.0055	0.0402	0.0298	-0.0013	0.0140	0.0005	-0.0637	-0.0037	0.0597	-0.0235	-0.0197	-0.0112
GTEX-R3RS-0001-SM-2RXF4	GTEX-R3RS-0001-SM-2RXF4	-0.0211	0.0018	-0.0027	-0.0006	0.0044	0.0140	-0.0021	-0.0145	-0.0004	-0.0252	0.0045	0.0518	0.0188	0.0059	0.0183	-0.0100	0.0121	0.0553	0.0083	-0.0309
