"C1"	"C2"	"C3"
"GTEX.T6MO"	-0.0218	0.0068	0.0245
"GTEX.T8EM"	-0.0219	0.0073	0.0169
"GTEX.TKQ1"	0.071	0.0102	-0.0231
"GTEX.TKQ2"	-0.0228	0.0069	0.0123
"GTEX.TML8"	0.0794	-0.0187	-0.0333
"GTEX.TMMY"	-0.0227	0.0111	0.0296
"GTEX.TMZS"	-0.0202	0.0085	-0.0041
"GTEX.TSE9"	-0.0215	-0.0175	0.0239
"GTEX.U3ZH"	-0.0158	0.0136	0.0016
"GTEX.U3ZM"	-0.0207	-0.003	0.0182
"GTEX.U3ZN"	-0.0212	0.0105	-0.0151
"GTEX.U4B1"	-0.0222	0.0155	0.0113
"GTEX.U8T8"	-0.0198	0.004	-0.0219
"GTEX.U8XE"	-0.0216	0.0096	0.0316
"GTEX.U412"	0.1254	0.0114	0.005
"GTEX.UJHI"	0.113	0.0036	2e-04
"GTEX.UJMC"	0.103	0.0169	0.027
"GTEX.UPJH"	-0.0207	0.0146	0.0277
"GTEX.UPK5"	-0.0219	5e-04	0.0026
"GTEX.UTHO"	-0.0227	0.014	0.0268
"GTEX.V1D1"	-0.0209	0.0028	0.0044
"GTEX.V955"	-0.0234	0.0049	0.0387
"GTEX.VJWN"	-0.0213	0.0118	0.0314
"GTEX.VJYA"	0.1238	0.0123	-0.0041
"GTEX.VUSG"	-0.0226	0.0183	0.0225
"GTEX.VUSH"	0.1208	0.0083	0.015
"GTEX.W5WG"	-0.0223	0.0042	0.0063
"GTEX.W5X1"	0.1279	0.0065	0.0181
"GTEX.WCDI"	0.1242	0.0121	0.0105
"GTEX.WEY5"	-0.0216	0.0042	7e-04
"GTEX.WFG7"	-0.0169	-0.0052	-0.0827
"GTEX.WFG8"	-0.0202	0.0136	0.0228
"GTEX.WFJO"	-0.0209	0.0092	0.0158
"GTEX.WFON"	-0.0214	0.0126	-5e-04
"GTEX.WH7G"	-0.0212	0.0068	-0.0058
"GTEX.WHPG"	-0.0081	-0.1134	0.0257
"GTEX.WHSB"	-0.0211	0.0064	0.0151
"GTEX.WHSE"	-0.0196	0.0112	-0.0639
"GTEX.WHWD"	-0.0208	0.0027	0.0049
"GTEX.WI4N"	-0.0211	0.0123	0.0087
"GTEX.WK11"	-0.0205	-0.0041	0.0048
"GTEX.WL46"	-0.0209	0.0021	0.0161
"GTEX.WOFL"	-0.0227	0.0162	0.0355
"GTEX.WOFM"	-0.022	0.0059	0.0252
"GTEX.WQUQ"	-0.0226	-0.0042	0.0457
"GTEX.WRHK"	-0.0207	0.0011	0.0084
"GTEX.WRHU"	-0.0213	0.016	0.0215
"GTEX.WVLH"	-0.0224	-0.0015	0.0154
"GTEX.WWYW"	-0.0218	-0.001	0.019
"GTEX.WXYG"	0.1187	0.0195	0.0043
"GTEX.WY7C"	-0.0219	0.0047	0.0017
"GTEX.WYBS"	-0.0203	0.0014	0.0032
"GTEX.WYJK"	-0.0219	0.0031	9e-04
"GTEX.WYVS"	-0.022	0.0122	0.019
"GTEX.WZTO"	-0.0174	-0.0018	-0.0696
"GTEX.X3Y1"	0.1098	0.0094	0.022
"GTEX.X4EO"	-0.0203	0.0067	0.0187
"GTEX.X4EP"	-0.0203	0.0074	0.0218
"GTEX.X4LF"	-0.0205	0.0139	-0.0285
"GTEX.X4XX"	-0.0153	-0.0097	-0.1789
"GTEX.X4XY"	-0.0216	0.0058	0.0298
"GTEX.X5EB"	-0.0208	0.0146	0.0102
"GTEX.X8HC"	-0.022	-0.0028	0.0364
"GTEX.X15G"	-0.0225	0.0139	0.0349
