Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000102760.12-ENSG00000268279.3	ENSG00000102760.12	ENSG00000268279.3	lasso	2.0	0.299491712662	0.299491712662	1.0			
ENSG00000174738.11-ENSG00000086548.8	ENSG00000174738.11	ENSG00000086548.8	lasso	2.0	0.296977657427	0.296977657427	1.0			
ENSG00000135094.9-ENSG00000181885.17	ENSG00000135094.9	ENSG00000181885.17	lasso	2.0	0.294689405748	0.294689405748	1.0			
ENSG00000157111.11-ENSG00000173391.7	ENSG00000157111.11	ENSG00000173391.7	lasso	2.0	-0.294589615046	0.294589615046	1.0			
ENSG00000179094.12-ENSG00000170776.18	ENSG00000179094.12	ENSG00000170776.18	lasso	2.0	0.292769607937	0.292769607937	1.0			
ENSG00000184557.4-ENSG00000139132.13	ENSG00000184557.4	ENSG00000139132.13	lasso	2.0	-0.290583142483	0.290583142483	1.0			
ENSG00000102760.12-ENSG00000183598.3	ENSG00000102760.12	ENSG00000183598.3	lasso	2.0	0.287595398106	0.287595398106	1.0			
ENSG00000174738.11-ENSG00000101412.12	ENSG00000174738.11	ENSG00000101412.12	lasso	2.0	0.286603256465	0.286603256465	1.0			
ENSG00000159388.5-ENSG00000185338.4	ENSG00000159388.5	ENSG00000185338.4	lasso	2.0	0.286185031498	0.286185031498	1.0			
ENSG00000069188.15-ENSG00000146072.6	ENSG00000069188.15	ENSG00000146072.6	lasso	2.0	-0.284495263875	0.284495263875	1.0			
ENSG00000167772.10-ENSG00000129757.11	ENSG00000167772.10	ENSG00000129757.11	lasso	2.0				0.63435968651	0.63435968651	2.0
ENSG00000167772.10-ENSG00000138615.5	ENSG00000167772.10	ENSG00000138615.5	lasso	2.0				0.630345421135	0.630345421135	2.0
ENSG00000178150.7-ENSG00000187288.9	ENSG00000178150.7	ENSG00000187288.9	lasso	2.0				-0.616327818758	0.616327818758	2.0
ENSG00000129988.5-ENSG00000278637.1	ENSG00000129988.5	ENSG00000278637.1	lasso	2.0				-0.584133630377	0.584133630377	2.0
ENSG00000278637.1-ENSG00000183598.3	ENSG00000278637.1	ENSG00000183598.3	lasso	2.0				-0.56024371899	0.56024371899	2.0
ENSG00000178150.7-ENSG00000143845.13	ENSG00000178150.7	ENSG00000143845.13	lasso	2.0				-0.54212055391	0.54212055391	2.0
